,Postcode,LATITUDE,LONGITUDE
491,760299,1.43630991,103.834571
492,760234,1.434353515,103.8379195
493,760212,1.431783173,103.8374384
494,760221,1.433717738,103.8360515
495,760272,1.438097638,103.8396421
496,760647,1.422564133,103.8372739
497,760872,1.413545102,103.8369707
498,760652,1.423779231,103.8400518
499,761664,1.420552661,103.8412172
500,762666,1.419582896,103.8399607
501,560314,1.366227071,103.8500859
502,560116,1.37334635,103.8364593
503,560319,1.365097853,103.8473807
504,560321,1.365117671,103.8483963
505,563307,1.365560929,103.8451674
506,560330,1.362431864,103.8510307
507,430009,1.314433815,103.8960611
508,160024,1.288525352,103.8284586
509,164078,1.291297828,103.8281531
510,100055,1.27396036,103.8121495
511,150130,1.284587128,103.8243603
512,150122,1.286458819,103.8042002
513,103080,1.273494356,103.8072294
514,161050,1.28407985,103.8305255
515,161050,1.28407985,103.8305255
516,160047,1.284205817,103.8310634
517,161054,1.289308932,103.8292333
518,150101,1.290717998,103.8216252
519,91023,1.275768826,103.8207116
520,150106,1.289426079,103.8222768
521,90115,1.275352014,103.8269502
522,90108,1.273357314,103.8253458
523,160129,1.281153031,103.8288562
524,102106,1.280649504,103.8107509
525,150038,1.288633659,103.8096439
526,150038,1.288633659,103.8096439
527,160003,1.291698335,103.8273345
528,161134,1.279256199,103.8272093
529,560218,1.365119086,103.8417425
530,560208,1.365444952,103.842715
531,560446,1.367760951,103.8553571
532,560432,1.36830997,103.8536003
533,560462,1.366955586,103.8580313
534,560475,1.362662978,103.8565159
535,560444,1.366600453,103.8555788
536,560542,1.374738413,103.8558768
537,560418,1.364946014,103.8540434
538,560541,1.373922392,103.8556214
539,560417,1.364959533,103.8551971
540,560461,1.367527763,103.8574096
541,560404,1.361677671,103.8547265
542,560462,1.366955586,103.8580313
543,560559,1.370998107,103.8578564
544,561444,1.366874112,103.8546689
545,560445,1.366980045,103.8557181
546,560557,1.371625702,103.8577361
547,560462,1.366955586,103.8580313
548,562309,1.365031842,103.8453017
549,101080,1.27368174,103.8065794
550,101080,1.27368174,103.8065794
551,101080,1.27368174,103.8065794
552,163027,1.282218691,103.8245363
553,151075,1.288053157,103.8152771
554,151077,1.288381067,103.8173911
555,163027,1.282218691,103.8245363
556,163027,1.282218691,103.8245363
557,161057,1.290138585,103.8284533
558,101080,1.27368174,103.8065794
559,102106,1.280649504,103.8107509
560,151048,1.287277396,103.8109636
561,151035,1.287693947,103.8089335
562,150046,1.287077496,103.8127058
563,100067,1.274636589,103.8096328
564,160087,1.290659806,103.8326083
565,160001,1.292075251,103.8285841
566,460056,1.326350406,103.9200642
567,460011,1.326911375,103.9248839
568,460061,1.325108719,103.9207382
569,560129,1.369894989,103.842059
570,560584,1.37071308,103.8534978
571,560586,1.37030353,103.8534559
572,560119,1.369563443,103.8446989
573,560130,1.370397917,103.8418788
574,560121,1.369705635,103.843516
575,560345,1.367487025,103.8496517
576,560119,1.369563443,103.8446989
577,560201,1.368849627,103.8445648
578,560587,1.370188804,103.8524295
579,560130,1.370397917,103.8418788
580,560348,1.36619757,103.8478999
581,560584,1.37071308,103.8534978
582,560313,1.366649726,103.8501337
583,560213,1.367769472,103.8412554
584,560610,1.37939471,103.8391572
585,560644,1.379149862,103.8409382
586,560106,1.371933703,103.8374861
587,560117,1.373717083,103.8356105
588,560156,1.375495196,103.8399475
589,560110,1.37045937,103.8374193
590,560107,1.371384001,103.8373814
591,560155,1.375877238,103.8400675
592,560178,1.376193199,103.8370382
593,560631,1.379557282,103.8407357
594,560503,1.375461631,103.848942
595,560502,1.375724748,103.8499343
596,560503,1.375461631,103.848942
597,560151,1.376711053,103.8411682
598,560151,1.376711053,103.8411682
599,560502,1.375724748,103.8499343
600,560603,1.38020079,103.8357557
601,560635,1.380768961,103.8423784
602,560646,1.379395177,103.8437636
603,560633,1.381206088,103.8422512
604,560506,1.374400419,103.8489362
605,560513,1.372736969,103.8501949
606,560504,1.374825895,103.8489561
607,560509,1.374000865,103.8501398
608,370049,1.325132403,103.8856108
609,560506,1.374400419,103.8489362
610,560507,1.374431399,103.8501575
611,560509,1.374000865,103.8501398
612,560625,1.382200246,103.8412103
613,560335,1.363209968,103.8506906
614,561307,1.366095605,103.8445195
615,563310,1.364608575,103.8448546
616,560436,1.367341586,103.8540411
617,560426,1.369480468,103.8533098
618,560324,1.368333922,103.8468792
619,560212,1.368803594,103.8416181
620,560134,1.372053182,103.8422497
621,560109,1.370096538,103.8376878
622,560610,1.37939471,103.8391572
623,560522,1.373115919,103.8519494
624,560646,1.379395177,103.8437636
625,560634,1.381582081,103.8432735
626,560506,1.374400419,103.8489362
627,562316,1.364765986,103.8469079
628,562315,1.364218315,103.8468615
629,562309,1.365031842,103.8453017
630,561354,1.364404397,103.8518109
631,563596,1.371935719,103.8501433
632,564588,1.371754007,103.8538833
633,564588,1.371754007,103.8538833
634,564588,1.371754007,103.8538833
635,560305,1.366084591,103.8460139
636,562310,1.364643209,103.8442566
637,560458,1.366568152,103.8596268
638,560458,1.366568152,103.8596268
639,560460,1.366339477,103.8591223
640,560259,1.368581482,103.8315578
641,560430,1.368992878,103.8527613
642,560132,1.371447436,103.8417836
643,560644,1.379149862,103.8409382
644,560648,1.378238594,103.8437197
645,560642,1.377943524,103.8404792
646,560521,1.37357054,103.8515513
647,562700,1.369410498,103.8460598
648,560622,1.382064342,103.8397419
649,564588,1.371754007,103.8538833
650,563588,1.37183157,103.853671
651,563596,1.371935719,103.8501433
652,561596,1.37243024,103.8509492
653,563588,1.37183157,103.853671
654,562588,1.371975713,103.8531509
655,563588,1.37183157,103.853671
656,562588,1.371975713,103.8531509
657,561588,1.372076889,103.8527861
658,563588,1.37183157,103.853671
659,560615,1.377463413,103.8391301
660,560637,1.380361872,103.8423346
661,560104,1.371827009,103.8388037
662,460514,1.332240197,103.9289062
663,460535,1.332702787,103.9234567
664,460521,1.330253071,103.9270583
665,460423,1.327976141,103.9275651
666,460424,1.32842001,103.9274827
667,460409,1.328102913,103.9329381
668,460402,1.330554729,103.9336867
669,460402,1.330554729,103.9336867
670,460103,1.333482591,103.9375425
671,460105,1.333722809,103.9365177
672,460202,1.325656284,103.927991
673,460420,1.327744679,103.9288744
674,460205,1.325926754,103.9308081
675,460138,1.330010112,103.9363435
676,460127,1.327974074,103.9379441
677,460128,1.327740236,103.9390057
678,461504,1.332052748,103.9319593
679,460503,1.331483875,103.9324659
680,460501,1.331640712,103.9311677
681,460545,1.330051424,103.924118
682,460501,1.331640712,103.9311677
683,460528,1.334902876,103.9278382
684,460525,1.334601139,103.9294453
685,460535,1.332702787,103.9234567
686,460533,1.333580162,103.9242187
687,460501,1.331640712,103.9311677
688,460540,1.331129729,103.9220926
689,460525,1.334601139,103.9294453
690,460542,1.330665909,103.922844
691,824110,1.395000712,103.910206
692,460084,1.331782451,103.9392084
693,470616,1.331903961,103.9151378
694,470713,1.336311806,103.9223922
695,470150,1.336153754,103.9126723
696,470139,1.334624534,103.9137777
697,470103,1.328770222,103.9093814
698,470712,1.335907292,103.922634
699,470628,1.334897237,103.9150068
700,470744,1.337860426,103.9216633
701,470712,1.335907292,103.922634
702,470620,1.334334322,103.9177126
703,470116,1.331037846,103.9086416
704,460004,1.322489623,103.9334053
705,460002,1.321301188,103.9332996
706,460003,1.321915339,103.9331809
707,460070,1.319969435,103.9428186
708,462032,1.323388186,103.9246665
709,461036,1.325341025,103.9254354
710,461020,1.326272712,103.9228853
711,461019,1.32723389,103.9222175
712,461041,1.327361556,103.9261194
713,461041,1.327361556,103.9261194
714,463057,1.32297631,103.941467
715,463057,1.32297631,103.941467
716,460210,1.324597474,103.9318706
717,460522,1.330663029,103.9269804
718,460133,1.327562572,103.9357346
719,460137,1.328830662,103.9355097
720,460131,1.32696994,103.9358501
721,460100,1.334355934,103.9390327
722,460185,1.326237253,103.9408276
723,460421,1.328259123,103.9289737
724,460116,1.331008235,103.9380668
725,460185,1.326237253,103.9408276
726,460081,1.328915582,103.9405287
727,460180,1.326713488,103.9408922
728,460185,1.326237253,103.9408276
729,460182,1.326869941,103.9418328
730,460427,1.329108884,103.9277342
731,460181,1.326686013,103.941272
732,471707,1.335748425,103.9194883
733,460121,1.329642018,103.9388211
734,461422,1.328342376,103.928231
735,460120,1.329973112,103.9375717
736,460554,1.332627151,103.9281721
737,460543,1.330336594,103.9232235
738,470101,1.328449133,103.9099374
739,470122,1.331978868,103.9106237
740,470712,1.335907292,103.922634
741,470124,1.332625423,103.9101609
742,470106,1.329501522,103.9093817
743,470143,1.334984001,103.9127601
744,470140,1.334889914,103.9133862
745,470140,1.334889914,103.9133862
746,470139,1.334624534,103.9137777
747,470142,1.335636498,103.9132694
748,470768,1.335664343,103.9373217
749,470764,1.335872263,103.9354009
750,470772,1.336462568,103.9378955
751,460036,1.321632997,103.9384413
752,462034,1.322292801,103.9382517
753,460043,1.321541281,103.9415933
754,462035,1.324539821,103.9267117
755,460056,1.326350406,103.9200642
756,670214,1.374941101,103.7748564
757,670123,1.377566635,103.7706606
758,670249,1.381002047,103.7740547
759,670458,1.388043942,103.7710676
760,670506,1.387033455,103.7681207
761,670621,1.386021061,103.7628543
762,670402,1.380312263,103.7680736
763,670419,1.383945101,103.7696137
764,670526,1.385458629,103.7652187
765,670623,1.386256101,103.7622013
766,670128,1.375995112,103.7697662
767,670204,1.373175165,103.7748106
768,670473,1.388237313,103.7721445
769,670237,1.378567561,103.7706474
770,670473,1.388237313,103.7721445
771,670539,1.382941791,103.7632483
772,670516,1.387351938,103.7670418
773,671217,1.374180984,103.7743981
774,670218,1.37446598,103.7736063
775,671517,1.387827099,103.7665688
776,670652,1.387448623,103.7638472
777,670624,1.386243403,103.7618376
778,670539,1.382941791,103.7632483
779,671629,1.385977535,103.7589631
780,671455,1.387567357,103.7712122
781,670176,1.379245299,103.7658816
782,670418,1.384319661,103.7688659
783,670484,1.38840059,103.7718822
784,670140,1.375502991,103.7689524
785,670152,1.375224695,103.7659225
786,671537,1.384116279,103.7628642
787,671401,1.381248503,103.7689354
788,670242,1.380072088,103.7718336
789,671613,1.384236786,103.7618809
790,671654,1.387555931,103.7642821
791,670536,1.384221831,103.7637669
792,670154,1.374816801,103.7651093
793,670154,1.374816801,103.7651093
794,670154,1.374816801,103.7651093
795,670174,1.380215441,103.7663022
796,671177,1.380669849,103.7649552
797,670606,1.381295747,103.7615713
798,670650,1.38691071,103.7633102
799,670228,1.375346635,103.7709554
800,670151,1.377129628,103.7661712
801,590004,1.338512067,103.7745698
802,260005,1.31655991,103.8072881
803,590015,1.339310858,103.7720515
804,160009,1.287674258,103.8388579
805,200640,1.307435479,103.8547139
806,180264,1.299009418,103.8522849
807,50032,1.284858609,103.8425788
808,81005,1.27624052,103.8430061
809,180271,1.300932673,103.853991
810,180232,1.296853111,103.8533475
811,85301,1.277449094,103.8416667
812,85601,1.275986995,103.8411918
813,85601,1.275986995,103.8411918
814,85201,1.277799407,103.8414034
815,680111,1.377879046,103.7521037
816,680111,1.377879046,103.7521037
817,680114,1.378507992,103.7507074
818,680460,1.377822649,103.7350124
819,680121,1.378303571,103.7501081
820,680404,1.380129649,103.7388888
821,682692,1.40067816,103.7513772
